Year	mil0021	mil0025	mil0026
1494	278.33435	278.26587	278.59134
1495	279.43408	277.19064	278.04752
1496	280.17468	277.84775	277.86575
1497	279.02045	278.52188	278.37906
1498	278.75638	278.04144	278.73157
1499	279.06009	277.07913	278.19662
1500	279.82877	277.45999	277.26154
1501	279.81223	279.03232	277.51285
1502	278.74631	278.46933	278.39935
1503	279.67514	277.71078	277.63568
1504	280.58301	278.57736	276.6279
1505	279.2771	278.81137	277.98779
1506	278.32089	277.48062	278.74548
1507	278.4465	277.07053	278.31549
1508	279.78818	279.23825	278.48141
1509	279.50073	279.41925	278.60596
1510	278.72095	277.86667	278.24252
1511	278.98657	277.70126	279.57159
1512	279.20093	278.18497	279.72098
1513	278.44312	278.04388	279.58981
1514	277.92844	278.55991	280.19174
1515	278.38498	279.10815	280.80597
1516	280.08871	277.81888	279.23611
1517	279.77118	278.02289	278.36502
1518	278.26746	278.57605	278.96097
1519	279.71664	278.58896	279.26633
1520	279.67996	277.88223	278.8407
1521	278.28387	279.57028	279.3179
1522	279.5914	279.43024	279.88989
1523	279.91138	278.65121	279.63315
1524	278.31757	279.49924	278.53333
1525	278.27792	279.73331	278.40927
1526	279.4028	278.9035	278.76413
1527	279.25104	279.69107	279.259
1528	278.4295	279.362	278.45444
1529	279.46506	278.55307	278.39896
1530	279.65979	279.69049	279.2739
1531	278.29529	280.04562	278.85904
1532	278.88742	277.9205	278.51178
1533	279.36093	277.86072	279.64267
1534	278.87296	279.37814	279.57852
1535	279.69138	279.6666	278.80167
1536	280.46439	279.07767	279.55646
1537	280.23471	279.35529	279.3103
1538	279.29196	279.9458	278.25729
1539	279.40048	279.63977	278.57077
1540	279.95578	279.03973	278.97034
1541	279.42477	280.19077	277.94626
1542	280.6022	280.21893	278.83762
1543	279.90274	279.3588	279.33847
1544	278.03281	279.15414	278.31226
1545	278.77725	278.72092	279.15247
1546	279.50748	277.79178	279.76028
1547	279.24323	277.92441	278.41043
1548	279.65262	278.01508	278.31528
1549	280.16159	278.26028	279.25681
1550	279.6976	278.80234	279.38608
1551	279.84479	279.83755	278.62204
1552	279.54031	279.21185	278.29706
1553	279.52435	278.34393	278.95694
1554	279.81839	279.21875	279.0144
1555	279.66397	279.47525	278.4519
1556	280.21475	278.38852	278.65701
1557	280.33597	278.67313	279.07559
1558	279.32642	278.92166	279.14566
1559	279.30463	277.81088	278.49976
1560	279.59796	278.29178	277.81989
1561	278.798	279.53906	277.47217
1562	278.89789	280.30276	278.58133
1563	279.66785	279.53589	279.65866
1564	278.91614	278.58066	278.45709
1565	278.14606	278.65332	278.3118
1566	278.51004	279.2695	279.90799
1567	278.82388	279.0687	278.75125
1568	278.74341	277.27982	278.5585
1569	278.83514	277.02527	279.12543
1570	277.60062	277.91751	279.85855
1571	277.89771	278.19601	280.0015
1572	279.51596	277.91138	279.23193
1573	279.3577	278.47168	278.92496
1574	278.3233	279.24496	279.76962
1575	278.74423	279.47928	280.3064
1576	279.64157	279.18655	278.5701
1577	278.40585	278.46942	278.03055
1578	278.16116	277.76605	278.57037
1579	279.94656	278.65262	277.29727
1580	279.11502	278.52786	276.88297
1581	278.03879	277.00357	278.28534
1582	279.15115	276.51633	277.81531
1583	279.04471	278.30002	276.56766
1584	278.30576	278.94165	277.38263
1585	278.71301	277.67072	278.14066
